"format_id","company_id","table_format","table_format_id","datawindow","origin_table","origin_table_id","last_modified","user_id"
0,0,"",0,"","",0,"",0
2,0,"bank_account",0,"d_checking_account_journal","account",0,"2002-07-25 19:55:17",0
